チーム,選手名
巨人,湯浅大
巨人,増田大輝
巨人,加藤廉
巨人,中田歩夢
巨人,吉川尚輝
巨人,鈴木大和
巨人,中島宏之
巨人,坂本勇人
巨人,デラクルーズ
巨人,長野久義
巨人,丸佳浩
巨人,相澤白虎
巨人,笹原操希
巨人,大津綾也
巨人,中田翔
巨人,平内龍太
巨人,笠島尚樹
巨人,萩尾匡也
巨人,ティマ
巨人,梶谷隆幸
巨人,京本眞
巨人,川嵜陽仁
巨人,大勢
巨人,髙田竜星
巨人,奈良木陸
巨人,菅野智之
巨人,木下幹也
巨人,山﨑伊織
巨人,戸郷翔征
巨人,戸田懐生
巨人,亀田啓太
巨人,小林誠司
巨人,田村朋輝
巨人,松田宣浩
巨人,大城卓三
巨人,前田研輝
巨人,岡本和真
巨人,岡本大翔
巨人,今村信貴
巨人,吉村優聖歩
巨人,北村流音
巨人,岸田行倫
巨人,富田龍
巨人,山田龍聖
巨人,グリフィン
巨人,山﨑友輔
巨人,鍵谷陽平
巨人,三塚琉生
巨人,赤星優志
巨人,鈴木康平
巨人,太田龍
巨人,ビーディ
巨人,森本哲星
巨人,ルシアーノ
巨人,門脇誠
巨人,若林晃弘
巨人,岡田悠希
巨人,立岡宗一郎
巨人,谷岡竜平
巨人,中山礼都
巨人,ブリンソン
巨人,重信慎之介
巨人,ウォーカー
巨人,大城元
巨人,畠世周
巨人,鍬原拓也
巨人,鴨打瑛二
巨人,髙橋優貴
巨人,田中千晴
巨人,バルドナード
巨人,オコエ瑠偉
巨人,阿部剣友
巨人,浅野翔吾
巨人,北村拓己
巨人,高梨雄平
巨人,直江大輔
巨人,保科広一
巨人,秋広優人
巨人,石田隼都
巨人,伊藤優輔
巨人,高木京介
巨人,山本一輝
巨人,船迫大雅
巨人,松原聖弥
巨人,菊田拡和
巨人,増田陸
巨人,横川凱
巨人,花田侑樹
巨人,田中豊樹
巨人,大江竜聖
巨人,メンデス
巨人,香月一也
巨人,山瀬慎之助
巨人,代木大和
巨人,三上朋也
巨人,萩原哲
巨人,堀田賢慎
巨人,小沼健太
巨人,松井颯
巨人,喜多隆介
巨人,堀岡隼人
巨人,菊地大稀
巨人,井上温大
巨人,中川皓太
巨人,ロペス
阪神,山本泰寛
阪神,木浪聖也
阪神,森下翔太
阪神,梅野隆太郎
阪神,大山悠輔
阪神,熊谷敬宥
阪神,近本光司
阪神,ノイジー
阪神,佐藤輝明
阪神,髙山俊
阪神,坂本誠志郎
阪神,岩崎優
阪神,岩貞祐太
阪神,西純矢
阪神,西勇輝
阪神,青柳晃洋
阪神,馬場皐輔
阪神,森木大智
阪神,秋山拓巳
阪神,Ｂ．ケラー
阪神,渡邉諒
阪神,北條史也
阪神,伊藤将司
阪神,鈴木勇斗
阪神,髙橋遥人
阪神,門別啓人
阪神,井上広大
阪神,糸原健斗
阪神,二保旭
阪神,才木浩人
阪神,浜地真澄
阪神,及川雅貴
阪神,小幡竜平
阪神,榮枝裕貴
阪神,井坪陽生
阪神,村上頌樹
阪神,Ｋ．ケラー
阪神,髙濱祐仁
阪神,戸井零士
阪神,遠藤成
阪神,島本浩也
阪神,桐敷拓馬
阪神,茨木秀俊
阪神,大竹耕太郎
阪神,富田蓮
阪神,中野拓夢
阪神,島田海吏
阪神,加治屋蓮
阪神,ミエセス
阪神,小林慶祐
阪神,長坂拳弥
阪神,前川右京
阪神,藤田健斗
阪神,小野寺暖
阪神,豊田寛
阪神,植田海
阪神,板山祐太郎
阪神,岡留英貴
阪神,湯浅京己
阪神,小川一平
阪神,髙寺望夢
阪神,中川勇斗
阪神,石井大智
阪神,渡邉雄大
阪神,岩田将貴
阪神,原口文仁
阪神,片山雄哉
阪神,ブルワー
阪神,ビーズリー
阪神,野口恭佑
阪神,望月惇志
阪神,伊藤稜
阪神,川原陸
阪神,佐藤蓮
中日,細川成也
中日,田中幹也
中日,高橋周平
中日,鵜飼航丞
中日,村松開人
中日,根尾昂
中日,大島洋平
中日,アキーノ
中日,小笠原慎之介
中日,田島慎二
中日,橋本侑樹
中日,谷元圭介
中日,柳裕也
中日,梅津晃大
中日,髙橋宏斗
中日,涌井秀章
中日,岡田俊哉
中日,大野雄大
中日,福元悠真
中日,福谷浩司
中日,石川昂弥
中日,石森大誠
中日,大野奨太
中日,森博人
中日,三好大倫
中日,仲地礼亜
